"","agua.HH","floresta_inundavel.HH","floresta_terrafirme.HH","macrofitas_emergentes.HH","macrofitas_flutuantes.HH","solo.HH","arbustos_inundaveis.HH","agua.HV","floresta_inundavel.HV","floresta_terrafirme.HV","macrofitas_emergentes.HV","macrofitas_flutuantes.HV","solo.HV","arbustos_inundaveis.HV"
"62",0.08,0.15,0.03,0.46,0.34,0.13,0.35,0,0.04,0.04,0.04,0,0,0.03
"63",0.04,0.49,0.27,0.2,0.15,0.15,0.41,0,0.1,0.04,0.02,0.01,0.03,0.13
"64",0.03,0.19,0.54,0.21,0.3,0.61,0.44,0,0.03,0.06,0,0.06,0.04,0.09
"65",0.16,0.2,0.18,0.12,0.21,0.54,0.13,0,0.06,0.07,0.04,0.04,0.03,0.05
"66",0.04,0.25,0.13,0.05,0.3,0.1,0.19,0,0.03,0.12,0.02,0.1,0.02,0.08
"67",0.11,0.16,0.36,0.3,0.2,0.23,0.27,0,0.15,0.04,0.05,0.03,0.07,0.15
"68",0.01,0.1,0.44,0.31,0.19,0.07,0.75,0,0.06,0.11,0.01,0.08,0.03,0.04
"69",0.06,0.15,0.2,0.16,0.09,0.18,0.15,0,0.07,0.07,0.02,0.06,0.06,0.05
"70",0.03,0.2,0.3,0.18,0.17,0.33,0.51,0,0.07,0.07,0.04,0.07,0.02,0.01
"71",0.03,0.51,0.37,0.07,0.13,0.05,0.36,0,0.02,0.05,0.04,0.02,0,0.04
"72",0.02,0.4,0.29,0.14,0.44,0.24,0.19,0,0.01,0.04,0.01,0.03,0.02,0.05
"73",0.04,0.38,0.16,0.12,0.11,0.27,0.39,0,0.07,0.04,0.02,0.06,0.02,0.02
"74",0.04,0.73,0.18,0.52,0.15,0.36,0.3,0,0.1,0.07,0.01,0.01,0.1,0.03
"75",0.05,0.13,0.18,0.2,0.24,0.13,0.14,0,0.06,0.06,0.02,0.03,0.03,0.08
"76",0.1,0.25,0.21,0.06,0.25,0.41,0.4,0,0.03,0.05,0.05,0.03,0.01,0.04
"77",0.06,0.58,0.43,0.04,0.43,0.06,0.21,0,0.11,0.06,0.1,0.01,0.01,0.03
"78",0.04,0.28,0.41,0.25,0.38,0.1,0.18,0,0.09,0.06,0.03,0.01,0.01,0.04
"79",0.08,0.19,0.2,0.12,0.18,0.24,0.35,0,0.14,0.04,0.08,0.01,0.05,0.07
"80",0.04,0.12,0.31,0.2,0.2,0.13,0.2,0,0.1,0.06,0.05,0.01,0.01,0.05
"81",0.13,0.48,0.18,0.32,0.49,0.09,0.34,0,0.04,0.09,0.04,0,0.02,0.04
"82",0.12,0.61,0.38,0.42,1,0.09,0.38,0,0.06,0.07,0.01,0.03,0.04,0.05
"83",0.08,0.05,0.12,0.15,0.09,0.21,0.47,0,0.06,0.04,0.02,0.02,0.04,0.09
"84",0.07,0.28,0.43,0.09,0.23,0.17,0.33,0,0.07,0.07,0.01,0.03,0.04,0.01
"85",0.09,0.3,0.32,0.1,0.21,0.14,1.01,0,0.06,0.09,0.08,0.01,0.01,0.08
"86",0.04,0.13,0.19,0.26,0.11,0.37,1.11,0,0.04,0.04,0.05,0.02,0.06,0.03
"87",0.05,0.18,0.16,0.18,0.3,0.15,0.18,0,0.07,0.03,0.06,0.01,0.04,0.1
"88",0.01,0.19,0.13,0.3,0.34,0.05,0.13,0,0.01,0.05,0.01,0.01,0.01,0.06
"89",0.06,0.49,0.14,0.21,0.02,0.25,0.67,0,0.04,0.12,0.01,0.01,0.01,0.02
"90",0.07,0.28,0.29,0.26,0.21,0.08,0.11,0,0.08,0.04,0.02,0.09,0.04,0.17
"91",0.01,0.3,0.12,0.12,0.14,0.27,0.3,0,0.02,0.07,0.02,0.11,0.05,0.02
"92",0.02,0.27,0.15,0.21,0.16,0.09,0.14,0,0.06,0.07,0.04,0.01,0.01,0.1
"93",0.1,0.15,0.11,0.36,0.28,0.32,0.56,0,0.08,0.07,0.03,0.03,0.01,0.05
"94",0.04,0.23,0.26,0.31,0.19,0.33,0.07,0.01,0.04,0.13,0.02,0.11,0.02,0.06
"95",0.01,0.59,0.17,0.17,0.23,0.23,0.33,0,0.04,0.07,0.05,0.02,0.06,0.07
"96",0.02,0.23,0.26,0.22,0.41,0.18,0.35,0,0.07,0.08,0.03,0.01,0.02,0.03
"97",0.11,0.24,0.28,0.54,0.06,0.21,0.23,0,0.06,0.02,0.04,0.02,0.02,0.06
"98",0.14,0.38,0.2,0.13,0.22,0.16,0.36,0,0.07,0.07,0.07,0.03,0.04,0.05
"99",0,0.36,0.11,0.28,0.35,0.16,0.32,0,0.03,0.03,0.06,0.05,0.02,0.07
"100",0.02,0.17,0.18,0.15,0.2,0.19,0.15,0,0.07,0.05,0.02,0.06,0.03,0.09
