"","sample","rich","p.inorg","p.tot.diss","p.tot","cu","cu.cens","fe","mn","mn.cens","zn","tss","iss","oss","tds","fluoride","chloride","nitrite","nitrite.cens","bromide","nitrate","nitrate.cens","sulfate","lithium","sodium","ammonia","k","mg","ca","n.tot","p.tot.sed","org.mat","in.mat","sand.085p","sand.085.050","sand.050.025","sand.025.0125","sand.0125.0063","silt.063.004","clay.004l","prof","temp","cond","od_p","od_mgl","ph","turb"
"24","p24",18,43.64,66.69,113.2,0.03,TRUE,0.1302,0.02,TRUE,0.0201,9.859,4.732,5.127,0.207,32.063,2.473,2,TRUE,4.663,160.025,FALSE,2.196,2.611,1.731,313.073,2.936,1.119,6.427,4.78,0.15,24.49,75.51,0,0,0,48.15,36.82,11.78,3.25,-225,29.1766666666667,0.046,10.5,0.81,6.27833333333333,5.275
"25","p25",19,23.99,37.31,87.21,0.03,TRUE,0.3656,0.02,TRUE,0.0103,20.102,13.75,6.352,0.254,37.591,1.746,2,TRUE,3.777,288.486,FALSE,1.175,2.425,1.981,265.59,1.053,1.148,7.13,2.55,0.11,63.5,36.5,0,0,0,46.08,33.35,14.97,5.59,-225,28.58,0.043,39.5,3.06,6.42833333333333,34.9333333333333
"26","p26",19,21.23,25.55,77.21,0.03,TRUE,0.2808,0.02,TRUE,0.0112,15.515,5.015,10.5,0.2,27.303,1.429,2,TRUE,4.846,5,TRUE,1.827,2.332,1.988,95.487,0.987,1.204,7.551,4.67,0.05,28.44,71.56,0,0,0,55.62,32.8,9.67,1.91,-150,30,0.042,78.3333333333333,5.93333333333333,6.69333333333333,11.9
"27","p27",19,19.96,20.32,77.07,0.03,TRUE,0.3221,0.0278,FALSE,0.0216,4.126,0.756,3.37,0.245,34.741,1.217,2,TRUE,4.999,5,TRUE,1.796,2.145,1.877,76.703,0.868,1.212,7.478,0.9,0.11,8.5,91.5,0,0,0,56.67,37.69,4.27,1.37,-105,30.555,0.041,73.95,5.535,6.625,9.85
"28","p28",27,19.32,24.45,82.64,0.03,TRUE,0.2184,0.0477,FALSE,0.021,5.508,0.88,4.628,0.149,39.081,1.422,2,TRUE,4.327,91.747,FALSE,1.801,2.332,1.876,135.665,0.908,1.159,7.272,2.32,0.45,19.72,80.28,0,0,0,62.99,34.59,1.16,1.26,-195,28.965,0.042,55,4.23,6.49,20.65
"29","p29",16,22.13,20.1,99.81,0.03,TRUE,0.334,0.02,TRUE,0.0264,3.63,1.055,2.575,0.215,33.204,0.352,2,TRUE,3.868,5,TRUE,0.57,2.052,0.522,69.398,0.235,0.483,3.586,2.13,0.2,12.12,87.88,0,0,0,60.9,29.55,6.66,2.9,-150,28.8533333333333,0.042,48.6333333333333,3.73333333333333,6.43666666666667,21.9
"3","p3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165,29.2683333333333,0.0436666666666667,76.35,5.87833333333333,6.67,12.6333333333333
"30","p30",18,17.21,19.16,83.26,0.03,TRUE,0.2181,0.0501,FALSE,0.0249,5.625,1.315,4.31,0.18,37.839,1.541,2,TRUE,5.06,5,TRUE,1.6,2.145,1.991,17.741,1.075,1.233,8.056,2.49,0.09,30.7,69.3,0,0,0,64.62,32.17,2.1,1.1,-135,29.635,0.042,77.25,5.86,6.64,19.15
"31","p31",17,21.23,31.79,69.81,0.03,TRUE,0.3091,0.0417,FALSE,0.0201,38.75,33.5,5.25,0.162,34.33,1.484,2,TRUE,4.327,84.14,FALSE,1.975,0.373,1.757,16.697,0.78,0.975,6.666,0.27,0.05,8.02,91.98,0,0,0,34.62,30.21,24.11,11.07,-270,30.87,0.044,54.1,4.03,6.42,1.9
"32","p32",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165,30.0625,0.0436666666666667,21.4916666666667,1.59083333333333,6.30666666666667,2.68333333333333
"33","p33",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165,29.0516666666667,0.0405,40,3.07833333333333,6.44166666666667,7.23333333333333
"4","p4",0,19.47,29.22,54.96,0.03,TRUE,0.4552,0.02,TRUE,0.012,14.125,11.09,3.035,0.197,17.529,1.661,2,TRUE,3.44,100.253,FALSE,1.811,2.425,1.725,42.787,0.904,1.09,6.446,1.75,0.39,13.42,86.58,0,0,0,60.82,37.91,0.46,0.81,-215,29.6625,0.041,62.3833333333333,4.7225,6.63166666666667,8.55
"5","p5",13,15.18,17.24,58.08,0.03,TRUE,0.3734,0.02,TRUE,0.0189,17.25,13.875,3.375,0.353,26.535,0.78,2,TRUE,4.54,37.179,FALSE,1.157,2.238,1.024,53.744,0.449,0.728,5.035,1.97,0.56,14.02,85.98,0,0,0,55.41,40.84,2.29,1.46,-160,29.3925,0.0411666666666667,24.3,1.84833333333333,6.375,5.13333333333333
"6","p6",0,17.38,29.12,40.3,0.03,TRUE,0.3823,0.02,TRUE,0.0136,13.776,10.526,3.25,0.204,29.361,1.453,2,TRUE,4.449,28.333,FALSE,1.868,2.145,1.825,57.397,0.954,1.03,6.802,0.8,0.35,9.82,90.18,0,0,0,32.62,46.19,18.83,2.35,-300,29.9533333333333,0.0323333333333333,51.7666666666667,4.04666666666667,6.47333333333333,0.4
"7","p7",21,14.77,20.49,59.49,0.03,TRUE,0.2984,0.02,TRUE,0.0233,1.125,0.175,0.95,0.9,52.544,2.48,2,TRUE,4.999,80.048,FALSE,1.888,1.492,1.934,91.835,1.129,1.117,6.427,2.67,0.04,18.03,81.97,0,0,0,54.96,38.36,4.09,2.59,-180,28.95,0.04,3.46666666666667,0.27,6.12,0.8
"8","p8",20,11.73,20.49,26.2,0.03,TRUE,0.2304,0.02,TRUE,0.0212,7.53,2.875,4.655,0.252,37.171,1.455,2,TRUE,3.41,5,TRUE,1.715,2.332,2.127,10.958,1.365,1.23,7.349,0.79,0.16,7.79,92.21,0,0,0,31.66,24.7,36.98,6.65,-165,29.125,0.04,31.5166666666667,2.41083333333333,6.28916666666667,5.75
"9","p9",19,13.41,27.99,79.06,0.03,TRUE,0.3356,0.02,TRUE,0.0205,13.286,11.143,2.143,0.477,33.367,1.266,2,TRUE,3.838,128.904,FALSE,1.864,2.611,1.709,164.363,0.855,1.159,6.929,1.69,0.21,10.06,90,0,0,0,42.36,48.12,7.31,2.21,-135,29.0675,0.036,29.2,2.245,6.1925,1.7
